task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5b/322f03	195394	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-08-03 18:38:48.078	208ms	134ms	41.7%	9.3 MB	30 MB	1.4 MB	591 B
1	fc/0f4a2c	195396	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:DBSHEET_CHECK (dbsheet.csv)	COMPLETED	0	2023-08-03 18:38:48.087	293ms	114ms	56.0%	11.2 MB	31.6 MB	1.4 MB	439 B
3	3a/48dfc6	195614	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (seatoxin-ref)	COMPLETED	0	2023-08-03 18:38:48.348	136ms	25ms	68.6%	3.2 MB	11.8 MB	153.5 KB	4 KB
4	ab/972a1a	195627	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (toxin-ref)	COMPLETED	0	2023-08-03 18:38:48.371	154ms	41ms	54.5%	3.3 MB	11.8 MB	155.9 KB	7.6 KB
5	6c/529698	195840	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (seatoxin-ref)	COMPLETED	0	2023-08-03 18:38:48.513	28.5s	28.5s	2.4%	2 GB	2.9 GB	222.7 KB	20.5 KB
6	f7/ffb3c7	195865	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (toxin-ref)	COMPLETED	0	2023-08-03 18:38:48.543	28.5s	28.5s	2.9%	2 GB	2.9 GB	222.6 KB	56.5 KB
7	86/cf541e	198165	NFCORE_GETSTRUCTURES:GETSTRUCTURES:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-08-03 18:39:17.287	138ms	65ms	66.7%	6.7 MB	19.5 MB	1 MB	2.4 KB
8	ef/c304c3	198248	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MULTIQC	COMPLETED	0	2023-08-03 18:39:17.453	3.3s	3.2s	58.2%	108.8 MB	455.1 MB	47.4 MB	2 MB
