task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	13/880872	202157	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-08-03 18:56:05.564	154ms	89ms	68.3%	11.6 MB	31.6 MB	1.4 MB	591 B
2	fa/a555a0	202163	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:DBSHEET_CHECK (dbsheet.csv)	COMPLETED	0	2023-08-03 18:56:05.571	204ms	84ms	60.8%	11.5 MB	31.6 MB	1.4 MB	439 B
4	a5/a14863	202379	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (toxin-ref)	COMPLETED	0	2023-08-03 18:56:05.760	117ms	41ms	78.0%	3.4 MB	11.8 MB	155.9 KB	7.6 KB
3	c5/09a390	202399	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (seatoxin-ref)	COMPLETED	0	2023-08-03 18:56:05.782	104ms	28ms	68.6%	0	0	153.5 KB	4 KB
6	0b/7b5b9e	202556	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (seatoxin-ref)	COMPLETED	0	2023-08-03 18:56:05.907	379ms	316ms	88.9%	3.3 MB	11.8 MB	222.7 KB	20.4 KB
5	47/6e5ed4	202554	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (toxin-ref)	COMPLETED	0	2023-08-03 18:56:05.901	410ms	362ms	106.7%	3.4 MB	11.8 MB	222.6 KB	56.5 KB
7	4d/80c755	202787	NFCORE_GETSTRUCTURES:GETSTRUCTURES:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-08-03 18:56:06.528	85ms	46ms	88.9%	8.2 MB	19.8 MB	1 MB	2.4 KB
8	d4/8599eb	202867	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MULTIQC	COMPLETED	0	2023-08-03 18:56:06.633	2.5s	2.4s	62.4%	93.3 MB	455.1 MB	47.4 MB	2 MB
