task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d4/e04268	203993	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:DBSHEET_CHECK (dbsheet.csv)	COMPLETED	0	2023-08-03 19:00:19.991	131ms	66ms	81.4%	14.3 MB	33.7 MB	1.4 MB	439 B
2	a3/121dad	204000	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-08-03 19:00:19.998	169ms	80ms	59.7%	15.1 MB	35.2 MB	1.4 MB	591 B
3	21/28f6e8	204219	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (seatoxin-ref)	COMPLETED	0	2023-08-03 19:00:20.193	55ms	17ms	44.4%	3.3 MB	11.8 MB	153.5 KB	4 KB
4	0d/134ade	204216	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (toxin-ref)	COMPLETED	0	2023-08-03 19:00:20.188	143ms	33ms	72.7%	3.3 MB	11.8 MB	155.9 KB	7.6 KB
5	63/65187d	204397	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (seatoxin-ref)	COMPLETED	0	2023-08-03 19:00:20.285	339ms	300ms	86.0%	3.3 MB	11.8 MB	222.7 KB	20.4 KB
6	94/ce8193	204496	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (toxin-ref)	COMPLETED	0	2023-08-03 19:00:20.345	339ms	290ms	108.9%	3.3 MB	11.8 MB	222.6 KB	56.5 KB
7	ea/0251d8	204724	NFCORE_GETSTRUCTURES:GETSTRUCTURES:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-08-03 19:00:20.816	81ms	39ms	84.2%	8.3 MB	19.8 MB	1 MB	2.4 KB
8	6d/438193	204806	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MULTIQC	COMPLETED	0	2023-08-03 19:00:20.912	2.3s	2.3s	66.7%	93.4 MB	455.1 MB	47.4 MB	2 MB
