task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	02/c8bb44	200184	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-08-03 18:50:56.505	121ms	80ms	58.8%	9.7 MB	30.2 MB	1.4 MB	600 B
2	cb/874ff2	200174	NFCORE_GETSTRUCTURES:GETSTRUCTURES:INPUT_CHECK:DBSHEET_CHECK (dbsheet.csv)	COMPLETED	0	2023-08-03 18:50:56.496	231ms	80ms	68.6%	11.5 MB	31.6 MB	1.4 MB	439 B
4	c0/613898	200396	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (toxin-ref)	COMPLETED	0	2023-08-03 18:50:56.668	77ms	25ms	59.3%	3.2 MB	11.8 MB	155.9 KB	7.6 KB
3	3f/acbf86	200408	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_CREATEDB (seatoxin-ref)	COMPLETED	0	2023-08-03 18:50:56.681	95ms	22ms	69.6%	0	0	153.5 KB	4 KB
6	c9/fa3b46	200645	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (seatoxin-ref)	COMPLETED	0	2023-08-03 18:50:56.790	359ms	306ms	95.2%	3.2 MB	11.8 MB	222.7 KB	20.4 KB
5	8f/7bfca0	200620	NFCORE_GETSTRUCTURES:GETSTRUCTURES:DB_SEARCH:MMSEQS_SEARCH (toxin-ref)	COMPLETED	0	2023-08-03 18:50:56.769	402ms	354ms	108.0%	3.3 MB	11.8 MB	222.6 KB	56.5 KB
7	a1/f1cf49	200935	NFCORE_GETSTRUCTURES:GETSTRUCTURES:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-08-03 18:50:57.384	103ms	50ms	104.3%	8.3 MB	19.9 MB	1 MB	2.4 KB
8	0a/e74d90	201015	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MULTIQC	COMPLETED	0	2023-08-03 18:50:57.505	2.6s	2.5s	70.1%	93.4 MB	455.1 MB	47.4 MB	2 MB
